id,box_id,label,created_at,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23
591,7a1b292ba94b86da,very_good,1777141033,0.08811468465111261,9.0,0.33766233766239007,5.0,0.5555555555555556,0.0,0.04066831599281831,3.0,1.8222778473093653,0.013279360340716098,0.7496874441864619,1.0,1.0,0.08820137051361625,0.055832491021117085,0.09191496310479388,97.22222222222223,98.0,0.0,0.0,0.0,0.0,0.0,0.0
598,d1df82462f4edc3d,very_good,1777141144,0.12541522608636074,14.0,0.34988179669029346,6.0,0.42857142857142855,0.016948003525182866,0.045759609517997506,3.0,1.8516532618409414,0.027838213815766517,1.463655436258176,0.0,1.0,0.013561620613658076,0.02618994544630731,0.13648097853220809,97.22222222222223,54.0,0.0,0.0,0.0,0.0,0.0,0.0
601,b585677dca6ebb28,good,1777141262,0.10965052083997512,10.0,1.066115702479213,6.0,0.6,0.0038250181688236125,0.00042500201876237334,3.0,2.8218750000001442,0.02012266748588472,1.1807840122982323,0.0,-1.0,0.05612626709298956,0.007533687979243456,0.07858452425957753,93.65079365079364,39.0,0.0,0.0,0.0,0.0,0.0,0.0
605,45c43d21de95a0b3,very_good,1777141322,0.041924236914708084,10.0,0.18992248062012268,6.0,0.6,0.002138991679317382,0.0012833950076018281,3.0,1.5626423690203124,0.009743664723884824,0.3950153892350425,1.0,1.0,0.02738741206072097,0.003919781413272612,-0.04850264720965018,51.98412698412698,23.0,0.0,0.0,0.0,0.0,0.0,0.0
606,c73e72f49daaf536,good,1777141348,0.0641774377799765,7.0,0.3378378378378338,3.0,0.42857142857142855,0.0038506462667856696,0.00128354875560789,3.0,1.4227642276422985,0.011721287558677245,0.9336309647164706,0.0,1.0,-0.09489531593300428,-0.01344531419415643,-0.03385527554386768,43.25396825396825,37.0,0.0,0.0,0.0,0.0,0.0,0.0
610,72b4258b615ed601,good,1777141435,0.06417908531965946,9.0,0.5434782608694498,4.0,0.4444444444444444,0.00556218739437036,0.0012835817064019296,3.0,1.3962765957443257,0.018431816508159695,1.99596271958081,0.0,-1.0,-0.04961505560308169,-0.00879570711860474,-0.02883723508283731,58.73015873015873,36.0,0.0,0.0,0.0,0.0,0.0,0.0
616,d65321699b365496,very_bad,1777141617,0.1909696204157808,19.0,0.20017953321366164,9.0,0.47368421052631576,0.010704575135406943,0.021837333276233207,3.0,3.4421168687984576,0.03963790682100983,0.5511392533967068,1.0,1.0,-0.16429916138970938,0.05077957828540293,0.284881200045933,95.63492063492063,22.0,0.0,0.0,0.0,0.0,0.0,0.0
617,c6f4ded5627240af,good,1777141634,0.1520544631440702,15.0,0.49577464788729647,7.0,0.4666666666666667,0.001727891626648497,0.01295918719976781,3.0,2.529774127310017,0.033414146006766524,0.9026941817139582,0.0,1.0,0.15916679642219353,0.02375072600836719,0.09831128013920429,96.82539682539682,28.0,0.0,0.0,0.0,0.0,0.0,0.0
624,5ad38b952d209aed,very_bad,1777141721,0.13078971871549966,9.0,0.3226495726495976,5.0,0.5555555555555556,0.0004330785387958473,0.003897706849143393,3.0,2.495867768595054,0.025638437351082396,0.86745013194342,0.0,1.0,-0.06749857214558948,-0.007671521803159128,0.05961506970982332,80.55555555555556,25.0,0.0,0.0,0.0,0.0,0.0,0.0
625,ae012d86add1d6cf,very_bad,1777141737,0.11432332715525349,9.0,0.3666666666666584,5.0,0.5555555555555556,0.0008660858117879053,0.004330429058901065,3.0,2.037486218302196,0.033602387800518004,0.9413733617006658,0.0,-1.0,0.07887050503124193,-0.001632507822418238,0.019341907307410842,85.71428571428571,36.0,0.0,0.0,0.0,0.0,0.0,0.0
